名目原系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
"Nominal, Original Series",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billion Yen),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
4- 6.,"127,907.5 ","71,335.0 ","69,934.1 ","58,906.4 ","4,708.5 ","16,376.9 ","1,446.9 ","24,928.6 ","7,198.7 ",-17.8 ,"1,930.7 ","14,204.2 ","12,273.5 ",,"1,667.2 ","2,701.7 ","1,034.5 ","129,574.8 ",,"125,976.9 ","93,867.3 ","32,109.6 ",,"28,284.1 ",,"126,478.4 ",,,,,,
7- 9.,"126,269.8 ","72,364.6 ","71,029.5 ","59,966.8 ","5,043.0 ","18,980.8 ",-908.1 ,"20,963.7 ","8,205.3 ",-21.4 ,"1,641.9 ","14,003.4 ","12,361.5 ",,"1,878.8 ","2,814.1 ",935.3 ,"128,148.7 ",,"124,628.0 ","95,480.3 ","29,147.7 ",,"32,229.1 ",,"127,199.4 ",,,,,,
10-12.,"135,330.6 ","73,382.9 ","71,670.8 ","60,577.7 ","4,847.2 ","18,063.6 ","2,046.3 ","25,274.5 ","10,040.2 ",-61.5 ,"1,737.3 ","15,002.3 ","13,265.0 ",,"1,430.9 ","2,394.4 ",963.5 ,"136,761.5 ",,"133,593.3 ","98,340.0 ","35,253.3 ",,"32,951.0 ",,"133,345.7 ",,,,,,
2003/ 1- 3.,"125,346.5 ","71,226.6 ","70,251.1 ","59,123.0 ","4,497.3 ","20,231.2 ","-3,666.7 ","21,819.8 ","9,612.3 ",17.6 ,"1,608.4 ","14,587.6 ","12,979.2 ",,"2,226.7 ","3,032.0 ",805.3 ,"127,573.3 ",,"123,738.2 ","92,288.5 ","31,449.7 ",,"34,340.9 ",,"128,995.6 ",,,,,,
4- 6.,"128,074.9 ","70,682.6 ","69,199.5 ","58,024.0 ","4,554.1 ","16,639.1 ","1,746.1 ","25,480.2 ","6,793.1 ",4.8 ,"2,174.9 ","14,600.0 ","12,425.1 ",,"1,783.8 ","2,753.8 ",970.0 ,"129,858.7 ",,"125,900.0 ","93,621.9 ","32,278.1 ",,"27,986.3 ",,"126,324.1 ",,,,,,
7- 9.,"126,317.5 ","71,526.5 ","70,106.4 ","58,883.6 ","5,066.9 ","18,596.0 ",78.8 ,"21,173.6 ","7,547.0 ",-30.0 ,"2,358.8 ","15,141.5 ","12,782.7 ",,"2,406.4 ","3,161.6 ",755.2 ,"128,723.9 ",,"123,958.7 ","95,268.2 ","28,690.5 ",,"31,209.8 ",,"126,268.8 ",,,,,,
10-12.,"135,661.8 ","73,714.4 ","71,890.2 ","60,636.4 ","4,856.8 ","18,514.5 ","1,614.0 ","25,295.1 ","9,181.4 ",-110.7 ,"2,596.3 ","15,660.0 ","13,063.7 ",,"1,722.2 ","2,542.5 ",820.3 ,"137,384.0 ",,"133,065.5 ","98,699.7 ","34,365.8 ",,"32,552.6 ",,"134,158.4 ",,,,,,
2004/ 1- 3.,"127,665.3 ","71,551.2 ","70,490.8 ","59,161.0 ","4,580.6 ","20,683.3 ","-2,693.7 ","21,892.1 ","8,874.3 ",-57.5 ,"2,835.0 ","16,083.4 ","13,248.4 ",,"2,637.2 ","3,351.9 ",714.7 ,"130,302.5 ",,"124,830.3 ","94,121.3 ","30,708.9 ",,"34,138.2 ",,"130,416.5 ",,,,,,
4- 6.,"128,884.3 ","71,149.4 ","69,694.4 ","58,315.0 ","4,692.2 ","16,902.9 ","2,029.1 ","25,296.9 ","6,101.0 ",-4.0 ,"2,716.8 ","16,630.9 ","13,914.0 ",,"2,278.7 ","3,299.7 ","1,021.0 ","131,163.0 ",,"126,167.5 ","94,773.6 ","31,393.9 ",,"27,696.1 ",,"126,859.2 ",,,,,,
7- 9.,"127,822.3 ","72,637.4 ","71,240.4 ","59,817.1 ","5,105.6 ","19,276.8 ",187.9 ,"21,235.5 ","6,814.4 ",-1.7 ,"2,566.3 ","17,172.7 ","14,606.3 ",,"2,665.1 ","3,478.9 ",813.8 ,"130,487.3 ",,"125,255.9 ","97,207.7 ","28,048.2 ",,"31,196.8 ",,"127,636.1 ",,,,,,
